dimension_type,dimension_code_or_name,dimension_label,official_mechanism_code,official_mechanism_label,source_row_count,distinct_partner_display_alias_count,source_row_numbers,fact_layer,human_gate,interpretation_limit
official_issue_field,9,地域安全及び犯罪防止に関する事業,1,委託,10,5,141;231;343;344;345;600;611;612;613;614,S002_616_row_source_universe_mechanical_aggregation,none_ready_now,"Counts are source records, not organizations, contracts, awards, or payments."
official_issue_field,9,地域安全及び犯罪防止に関する事業,2,提案型公募による委託,0,0,,S002_616_row_source_universe_mechanical_aggregation,none_ready_now,"Counts are source records, not organizations, contracts, awards, or payments."
official_issue_field,9,地域安全及び犯罪防止に関する事業,3,指定管理者制度による委任,0,0,,S002_616_row_source_universe_mechanical_aggregation,none_ready_now,"Counts are source records, not organizations, contracts, awards, or payments."
official_issue_field,9,地域安全及び犯罪防止に関する事業,4,補助,0,0,,S002_616_row_source_universe_mechanical_aggregation,none_ready_now,"Counts are source records, not organizations, contracts, awards, or payments."
official_issue_field,9,地域安全及び犯罪防止に関する事業,5,共催,3,2,140;455;601,S002_616_row_source_universe_mechanical_aggregation,none_ready_now,"Counts are source records, not organizations, contracts, awards, or payments."
official_issue_field,9,地域安全及び犯罪防止に関する事業,6,後援,1,1,616,S002_616_row_source_universe_mechanical_aggregation,none_ready_now,"Counts are source records, not organizations, contracts, awards, or payments."
official_issue_field,9,地域安全及び犯罪防止に関する事業,7,実行委員会等,0,0,,S002_616_row_source_universe_mechanical_aggregation,none_ready_now,"Counts are source records, not organizations, contracts, awards, or payments."
official_issue_field,9,地域安全及び犯罪防止に関する事業,8,事業協力,2,2,603;615,S002_616_row_source_universe_mechanical_aggregation,none_ready_now,"Counts are source records, not organizations, contracts, awards, or payments."
official_issue_field,9,地域安全及び犯罪防止に関する事業,9,講師等,0,0,,S002_616_row_source_universe_mechanical_aggregation,none_ready_now,"Counts are source records, not organizations, contracts, awards, or payments."
official_issue_field,9,地域安全及び犯罪防止に関する事業,10,その他,2,1,602;604,S002_616_row_source_universe_mechanical_aggregation,none_ready_now,"Counts are source records, not organizations, contracts, awards, or payments."
official_issue_field,10,人権の擁護又は平和の推進を図る事業,1,委託,2,2,9;204,S002_616_row_source_universe_mechanical_aggregation,none_ready_now,"Counts are source records, not organizations, contracts, awards, or payments."
official_issue_field,10,人権の擁護又は平和の推進を図る事業,2,提案型公募による委託,3,2,1;10;11,S002_616_row_source_universe_mechanical_aggregation,none_ready_now,"Counts are source records, not organizations, contracts, awards, or payments."
official_issue_field,10,人権の擁護又は平和の推進を図る事業,3,指定管理者制度による委任,1,1,496,S002_616_row_source_universe_mechanical_aggregation,none_ready_now,"Counts are source records, not organizations, contracts, awards, or payments."
official_issue_field,10,人権の擁護又は平和の推進を図る事業,4,補助,0,0,,S002_616_row_source_universe_mechanical_aggregation,none_ready_now,"Counts are source records, not organizations, contracts, awards, or payments."
official_issue_field,10,人権の擁護又は平和の推進を図る事業,5,共催,0,0,,S002_616_row_source_universe_mechanical_aggregation,none_ready_now,"Counts are source records, not organizations, contracts, awards, or payments."
official_issue_field,10,人権の擁護又は平和の推進を図る事業,6,後援,1,1,529,S002_616_row_source_universe_mechanical_aggregation,none_ready_now,"Counts are source records, not organizations, contracts, awards, or payments."
official_issue_field,10,人権の擁護又は平和の推進を図る事業,7,実行委員会等,0,0,,S002_616_row_source_universe_mechanical_aggregation,none_ready_now,"Counts are source records, not organizations, contracts, awards, or payments."
official_issue_field,10,人権の擁護又は平和の推進を図る事業,8,事業協力,0,0,,S002_616_row_source_universe_mechanical_aggregation,none_ready_now,"Counts are source records, not organizations, contracts, awards, or payments."
official_issue_field,10,人権の擁護又は平和の推進を図る事業,9,講師等,1,1,246,S002_616_row_source_universe_mechanical_aggregation,none_ready_now,"Counts are source records, not organizations, contracts, awards, or payments."
official_issue_field,10,人権の擁護又は平和の推進を図る事業,10,その他,0,0,,S002_616_row_source_universe_mechanical_aggregation,none_ready_now,"Counts are source records, not organizations, contracts, awards, or payments."
official_issue_field,11,国際協力及び国際交流に関する事業,1,委託,5,5,431;433;434;501;571,S002_616_row_source_universe_mechanical_aggregation,none_ready_now,"Counts are source records, not organizations, contracts, awards, or payments."
official_issue_field,11,国際協力及び国際交流に関する事業,2,提案型公募による委託,4,4,432;435;436;438,S002_616_row_source_universe_mechanical_aggregation,none_ready_now,"Counts are source records, not organizations, contracts, awards, or payments."
official_issue_field,11,国際協力及び国際交流に関する事業,3,指定管理者制度による委任,0,0,,S002_616_row_source_universe_mechanical_aggregation,none_ready_now,"Counts are source records, not organizations, contracts, awards, or payments."
official_issue_field,11,国際協力及び国際交流に関する事業,4,補助,1,1,437,S002_616_row_source_universe_mechanical_aggregation,none_ready_now,"Counts are source records, not organizations, contracts, awards, or payments."
official_issue_field,11,国際協力及び国際交流に関する事業,5,共催,0,0,,S002_616_row_source_universe_mechanical_aggregation,none_ready_now,"Counts are source records, not organizations, contracts, awards, or payments."
